в мешке 3 красных шара и 8 синих шаров. какова вероятность вынуть синий? 3 + 8 = 11, и вероятность есть 8 из 11.
в мешке 2 красных шара и 3 синих шара. какова вероятность вынуть красный? 2 + 3 = 5, и вероятность есть 2 из 5.
в мешке 4 зелёных камня и 6 красных камней. какова вероятность вынуть красный? 4 + 6 = 10, и вероятность есть 6 из 10.
в мешке 2 зелёных камня и 8 красных камней. какова вероятность вынуть зелёный? 2 + 8 = 10, и вероятность есть 2 из 10.
в мешке 5 чёрных ключей и 4 зелёных ключа. какова вероятность вынуть зелёный? 5 + 4 = 9, и вероятность есть 4 из 9.
в мешке 3 чёрных ключа и 6 зелёных ключей. какова вероятность вынуть чёрный? 3 + 6 = 9, и вероятность есть 3 из 9.
в мешке 6 белых орехов и 4 чёрных ореха. какова вероятность вынуть чёрный? 6 + 4 = 10, и вероятность есть 4 из 10.
в мешке 4 белых ореха и 3 чёрных ореха. какова вероятность вынуть белый? 4 + 3 = 7, и вероятность есть 4 из 7.
в мешке 2 жёлтых ключа и 5 белых ключей. какова вероятность вынуть белый? 2 + 5 = 7, и вероятность есть 5 из 7.
в мешке 5 жёлтых шаров и 2 белых шара. какова вероятность вынуть жёлтый? 5 + 2 = 7, и вероятность есть 5 из 7.
в мешке 3 синих ореха и 2 жёлтых ореха. какова вероятность вынуть жёлтый? 3 + 2 = 5, и вероятность есть 2 из 5.
в мешке 6 синих камней и 2 жёлтых камня. какова вероятность вынуть синий? 6 + 2 = 8, и вероятность есть 6 из 8.

в мешке 3 красных шара и 8 синих шаров. какова вероятность вынуть красный или синий? других нет, и вероятность есть 11 из 11.
в мешке 2 красных шара и 3 синих шара. какова вероятность вынуть белый? белых в мешке нет, и вероятность есть 0 из 5.
в мешке 4 зелёных камня и 6 красных камней. какова вероятность вынуть зелёный или красный? других нет, и вероятность есть 10 из 10.
в мешке 2 зелёных камня и 8 красных камней. какова вероятность вынуть жёлтый? жёлтых в мешке нет, и вероятность есть 0 из 10.
в мешке 5 чёрных ключей и 4 зелёных ключа. какова вероятность вынуть чёрный или зелёный? других нет, и вероятность есть 9 из 9.
в мешке 3 чёрных ключа и 6 зелёных ключей. какова вероятность вынуть синий? синих в мешке нет, и вероятность есть 0 из 9.
в мешке 6 белых орехов и 4 чёрных ореха. какова вероятность вынуть белый или чёрный? других нет, и вероятность есть 10 из 10.
в мешке 4 белых ореха и 3 чёрных ореха. какова вероятность вынуть красный? красных в мешке нет, и вероятность есть 0 из 7.
в мешке 2 жёлтых ключа и 5 белых ключей. какова вероятность вынуть жёлтый или белый? других нет, и вероятность есть 7 из 7.
в мешке 5 жёлтых шаров и 2 белых шара. какова вероятность вынуть зелёный? зелёных в мешке нет, и вероятность есть 0 из 7.
