# РЫНОК ПАДЕЖА ЛИЦА — в каком падеже свод ставит лицо после этого слова.
# Собран `python3 scripts/personcase_market.py --собрать` по мирам, объявившим
# деятелей (манифест `actors`). Столбцы: язык, слово перед лицом, показы, падежи.
# Падеж объявлен ПАКЕТОМ языка (`person_forms`); `nom` — само имя.
ru	а	586	dat,nom
ru	будет	164	dat,gen
ru	было	45	dat
ru	воскресенье	72	nom
ru	всего	94	nom
ru	вторник	69	nom
ru	вчера	388	nom
ru	год	26	dat
ru	года	91	dat
ru	дальше	135	nom
ru	делает	10	nom
ru	держит	11	nom
ru	если	82	nom
ru	заплатил	48	nom
ru	заплатила	60	nom
ru	значит	1256	nom
ru	и	540	dat,gen,nom
ru	купил	100	nom
ru	купила	77	nom
ru	лет	398	dat,gen
ru	ли	630	nom
ru	назад	90	dat
ru	назван	9	nom
ru	насколько	46	nom
ru	нашла	36	nom
ru	нашёл	53	nom
ru	не	16	nom
ru	отложил	15	nom
ru	отложила	15	nom
ru	положил	52	nom
ru	положила	36	nom
ru	получил	13	nom
ru	получила	12	nom
ru	понедельник	75	nom
ru	потом	135	nom
ru	потому	546	nom
ru	прочитал	62	nom
ru	прочитала	38	nom
ru	пятницу	69	nom
ru	рода	182	nom
ru	рублей	24	nom
ru	сделал	78	nom
ru	сделала	52	nom
ru	сегодня	108	nom
ru	собрал	160	nom
ru	собрала	92	nom
ru	среду	78	nom
ru	старше	388	dat,gen
ru	субботу	69	nom
ru	съел	56	nom
ru	съела	42	nom
ru	такое	12	gen
ru	то	50	nom
ru	у	10976	dat,gen
ru	хранит	11	nom
ru	чем	664	nom
ru	четверг	78	nom
ru	что	1524	nom
